,Title,Location,Company,Salary
1283,Data Scientist,"Corning, NY 14831",Corning,
1284,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1285,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1286,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1287,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1288,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1289,newESG Data Scientist,"New York, NY",MSCI Inc,
1290,Data Scientist,"Nanuet, NY+1 location",Alldus,
1291,Data Scientist,"New York, NY 10036",Pluto TV,
1292,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1293,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1294,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1295,Analyst-Data Science,"New York, NY",Amex,
1296,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1297,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1298,Data Scientist,"Corning, NY 14831",Corning,
1299,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1300,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1301,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1302,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1303,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1304,newESG Data Scientist,"New York, NY",MSCI Inc,
1305,Data Scientist,"Nanuet, NY+1 location",Alldus,
1306,Data Scientist,"New York, NY 10036",Pluto TV,
1307,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1308,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1309,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1310,Analyst-Data Science,"New York, NY",Amex,
1311,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1312,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1313,Data Scientist,"Corning, NY 14831",Corning,
1314,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1315,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1316,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1317,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1318,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1319,newESG Data Scientist,"New York, NY",MSCI Inc,
1320,Data Scientist,"Nanuet, NY+1 location",Alldus,
1321,Data Scientist,"New York, NY 10036",Pluto TV,
1322,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1323,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1324,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1325,Analyst-Data Science,"New York, NY",Amex,
1326,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1327,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
