,Title,Location,Company,Salary
999,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1000,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1001,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1002,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1003,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1004,newESG Data Scientist,"New York, NY",MSCI Inc,
1005,Data Scientist,"Nanuet, NY+1 location",Alldus,
1006,Data Scientist,"New York, NY 10036",Pluto TV,
1007,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1008,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1009,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1010,Analyst-Data Science,"New York, NY",Amex,
1011,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1012,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1013,Data Scientist,"Corning, NY 14831",Corning,
1014,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1015,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1016,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1017,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1018,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1019,newESG Data Scientist,"New York, NY",MSCI Inc,
1020,Data Scientist,"Nanuet, NY+1 location",Alldus,
1021,Data Scientist,"New York, NY 10036",Pluto TV,
1022,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1023,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1024,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1025,Analyst-Data Science,"New York, NY",Amex,
1026,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1027,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1028,Data Scientist,"Corning, NY 14831",Corning,
1029,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1030,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1031,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1032,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1033,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1034,newESG Data Scientist,"New York, NY",MSCI Inc,
1035,Data Scientist,"Nanuet, NY+1 location",Alldus,
1036,Data Scientist,"New York, NY 10036",Pluto TV,
1037,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1038,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1039,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1040,Analyst-Data Science,"New York, NY",Amex,
1041,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1042,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1043,Data Scientist,"Corning, NY 14831",Corning,
1044,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1045,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1046,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1047,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1048,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1049,newESG Data Scientist,"New York, NY",MSCI Inc,
1050,Data Scientist,"Nanuet, NY+1 location",Alldus,
1051,Data Scientist,"New York, NY 10036",Pluto TV,
1052,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1053,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1054,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1055,Analyst-Data Science,"New York, NY",Amex,
1056,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1057,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1058,Data Scientist,"Corning, NY 14831",Corning,
