,Random Forrest Classifier,K Nearest Neighbors,Support Vector Machines,Logistic Regression,Neural Network
CV_score,0.6817307692307693,0.6615384615384615,0.6692307692307693,0.6826923076923077,0.675
Train_score,0.8,0.7413461538461539,0.7153846153846154,0.7115384615384616,0.7759615384615385
Test_score,0.6743295019157088,0.6168582375478927,0.6130268199233716,0.6168582375478927,0.6360153256704981
