,Random Forrest Classifier,K Nearest Neighbors,Support Vector Machines,Logistic Regression,Neural Network
CV_score,0.6307692307692309,0.5740384615384615,0.6375,0.6375,0.6269230769230768
Train_score,0.6615384615384615,0.575,0.6615384615384615,0.6615384615384615,0.6423076923076924
Test_score,0.5823754789272031,0.5517241379310345,0.5823754789272031,0.5823754789272031,0.5632183908045977
