,Random Forrest Classifier,K Nearest Neighbors,Support Vector Machines,Logistic Regression,Neural Network
CV_score,0.6865384615384615,0.6663461538461538,0.6836538461538462,0.7048076923076924,0.6913461538461538
Train_score,0.7865384615384615,0.75,0.7096153846153846,0.7134615384615385,0.775
Test_score,0.6398467432950191,0.6360153256704981,0.6513409961685823,0.6398467432950191,0.6628352490421456
