,Title,Location,Company,Salary
639,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
640,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
641,Data Scientist,"Corning, NY 14831",Corning,
642,newData Scientist,"New York, NY",BNY Mellon,
643,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
644,Data Scientist (Personalization),"New York, NY",The New York Times,
645,Data Scientist,New York State•Remote,AbleTo,
646,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
647,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
648,Data Scientist - Fraud,"Columbus, NY",Klarna,
649,Data Scientist,"New York, NY",Amex,
650,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
651,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
652,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
653,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
654,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
655,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
656,Data Scientist,"Corning, NY 14831",Corning,
657,newData Scientist,"New York, NY",BNY Mellon,
658,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
659,Data Scientist (Personalization),"New York, NY",The New York Times,
660,Data Scientist,New York State•Remote,AbleTo,
661,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
662,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
663,Data Scientist - Fraud,"Columbus, NY",Klarna,
664,Data Scientist,"New York, NY",Amex,
665,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
666,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
667,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
668,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
669,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
670,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
671,Data Scientist,"Corning, NY 14831",Corning,
672,newData Scientist,"New York, NY",BNY Mellon,
673,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
674,Data Scientist (Personalization),"New York, NY",The New York Times,
675,Data Scientist,New York State•Remote,AbleTo,
676,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
677,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
678,Data Scientist - Fraud,"Columbus, NY",Klarna,
679,Data Scientist,"New York, NY",Amex,
680,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
681,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
682,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
683,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
684,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
685,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
686,Data Scientist,"Corning, NY 14831",Corning,
687,newData Scientist,"New York, NY",BNY Mellon,
688,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
689,Data Scientist (Personalization),"New York, NY",The New York Times,
690,Data Scientist,New York State•Remote,AbleTo,
691,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
692,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
693,Data Scientist - Fraud,"Columbus, NY",Klarna,
694,Data Scientist,"New York, NY",Amex,
