,Title,Location,Company,Salary
307,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
308,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
309,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
310,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
311,Data Scientist,"Corning, NY 14831",Corning,
312,newData Scientist,"New York, NY",BNY Mellon,
313,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
314,Data Scientist (Personalization),"New York, NY",The New York Times,
315,Data Scientist,New York State•Remote,AbleTo,
316,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
317,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
318,Data Scientist - Fraud,"Columbus, NY",Klarna,
319,Data Scientist,"New York, NY",Amex,
320,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
321,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
322,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
323,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
324,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
325,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
326,Data Scientist,"Corning, NY 14831",Corning,
327,newData Scientist,"New York, NY",BNY Mellon,
328,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
329,Data Scientist (Personalization),"New York, NY",The New York Times,
330,Data Scientist,New York State•Remote,AbleTo,
331,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
332,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
333,Data Scientist - Fraud,"Columbus, NY",Klarna,
334,Data Scientist,"New York, NY",Amex,
335,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
336,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
337,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
338,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
339,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
340,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
341,Data Scientist,"Corning, NY 14831",Corning,
342,newData Scientist,"New York, NY",BNY Mellon,
